date,Y,dY_obs,dC_obs
1995q1,1616.655276,,
1995q2,1610.15398,-0.00175001406931288,0.00512019853429925
1995q3,1616.144036,0.0016126540346488,0.000745198117318595
1995q4,1626.718388,0.00283231195141301,0.00297598539151688
1996q1,1631.313136,0.00122495746917752,0.00709404089781972
1996q2,1673.11094,0.0109874056321649,-0.000745318841805454
1996q3,1676.095548,0.000774033570521698,-0.000442698221569892
1996q4,1676.497596,0.000104162492254546,0.00116695091455897
1997q1,1699.373784,0.00588597915665578,0.00641601086157754
1997q2,1726.205572,0.0068035999616938,0.00756441337944684
1997q3,1718.651348,-0.00190473110106408,-0.00828878667495957
1997q4,1723.712832,0.00127713166916886,0.0143744736732493
1998q1,1750.046176,0.00658459325467147,-0.00346122288215295
1998q2,1736.095492,-0.00347589857139312,0.00291202740621559
1998q3,1764.983,0.00716691731535328,0.00423039670089687
1998q4,1776.588012,0.00284620056798064,0.00616923873779166
1999q1,1791.23596,0.00356607208232744,-0.0056733694672909
1999q2,1799.219892,0.0019314446239754,-0.00567183606269834
1999q3,1806.84416,0.00183645237972506,0.00392749861872511
1999q4,1838.9463,0.00764835101929234,0.000127447992996921
2000q1,1851.641764,0.00298792041423111,0.000391003462909616
2000q2,1872.396912,0.00484094842267177,0.00139183765479015
2000q3,1875.56106,0.000733291223147074,5.21775285729423E-05
2000q4,1906.124984,0.00702016635425153,-0.00214331958513073
2001q1,1876.401892,-0.00682551160494152,0.00171499387158987
2001q2,1888.60312,0.00281484063156024,0.00493643998269344
2001q3,1901.200604,0.00288724078391207,-0.00240062514553022
2001q4,1910.825936,0.00219318381656008,-0.00322378956167148
2002q1,1897.34118,-0.00307569464234463,0.00672125768302872
2002q2,1900.649032,0.000756496016895351,-0.00120401338354719
2002q3,1908.925924,0.00188714710720994,0.00569736012468809
2002q4,1904.706824,-0.000960938148602389,0.000166439108368184
2003q1,1910.313952,0.00127660982529153,-0.00360040346972891
2003q2,1895.658204,-0.00334471282697099,0.00349410292656919
2003q3,1901.2906,0.00128846630448574,0.00420608400785257
2003q4,1937.9344,0.00829057084103567,0.00736556439326931
2004q1,1946.253624,0.0018603623611099,0.00166307363617373
2004q2,1960.604864,0.00319064147997843,0.00301030694373369
2004q3,1964.482516,0.000858092190652421,0.00966011726063325
2004q4,1986.113648,0.00475592784336925,0.0126617241518268
2005q1,1977.759212,-0.00183067971898122,-0.00826065877024485
2005q2,2019.88206,0.00915259588335573,0.0101362621953124
2005q3,2017.09,-0.000600735613951562,0.00518204865045703
2005q4,2028.12862,0.00237021733734368,-0.00163140694812832
2006q1,2049.36376,0.00452355842391812,0.00833350736549651
2006q2,2110.888684,0.0128462796689452,0.00379642181563916
2006q3,2096.132316,-0.00304663821604288,-0.00866567463029463
2006q4,2093.429964,-0.000560257442704389,0.00477141495972318
2007q1,2101.41028,0.00165241638879053,0.00435202165788566
2007q2,2078.756916,-0.00470714535217963,-0.000174219884530674
2007q3,2114.332692,0.0073696178221033,0.00475504261675776
2007q4,2137.742088,0.00478198279659068,0.00559282484009829
2008q1,2129.717996,-0.00163320706751851,0.000271376549546022
2008q2,2109.69418,-0.00410259588061356,0.00184362989626459
2008q3,2098.53704,-0.0023028657104922,-0.00641981459379055
2008q4,2059.115308,-0.00823597181099967,-0.0168320690674318
2009q1,2018.752488,-0.00859759235245485,-0.00382220844509787
2009q2,1981.94238,-0.00799205060845658,0.00470059449128097
2009q3,1987.464236,0.00120829805035197,0.00062543097768701
2009q4,1991.195296,0.000814535263251158,-0.00181910638634843
2010q1,2008.76129442176,0.0038144740094672,0.00649931298880181
2010q2,2017.60289801409,0.00190736140094605,-0.00356923189407303
2010q3,2045.35514898897,0.00593303537434333,0.00220703903379346
2010q4,2033.84521734385,-0.00245082987715472,0.00230708383999626
2011q1,2047.71691225221,0.00295201864259767,-0.00554303117984995
2011q2,2067.21383414516,0.00411548552234323,0.00553347801296663
2011q3,2040.54503874004,-0.00563921777026653,0.000743825047009718
2011q4,2056.21937062223,0.00332326117887384,0.000443638479820022
2012q1,2051.36197174871,-0.00102714582362586,-0.0025621448404282
2012q2,2051.03688989506,-6.88286343010352E-05,0.00204696543296117
2012q3,2054.78412467232,0.000792730044606268,-0.000759209331682985
2012q4,2055.07271469529,6.09914454993094E-05,0.00392975321467859
2013q1,2069.9233210766,0.00312706446887838,0.00272485650966883
2013q2,2073.83499944256,0.000819942044169787,0.00120689258593351
2013q3,2091.39735440016,0.00366235465360073,-6.75435607847022E-05
2013q4,2091.86926139726,9.79840036527545E-05,-4.18387025588586E-05
2014q1,2091.98769010923,2.45863741123883E-05,-0.00490075431497237
2014q2,2093.87297501737,0.000391206948002757,0.0033207440606179
2014q3,2124.41478902789,0.00628898445098718,0.001536101560338
2014q4,2123.05845773665,-0.000277363590642323,0.00175182631122266
2015q1,2139.02092860105,0.00325308132435467,-0.00136673108739361
2015q2,2153.10029288126,0.002849226213199,0.00362878687278112
2015q3,2156.42263904983,0.000669622562229526,0.00743626736410844
2015q4,2162.27769532907,0.00117758584498411,0.00192959693096315
2016q1,2188.95406126389,0.00532517885721569,0.00504917792600414
2016q2,2212.73501499018,0.00469276102336407,0.00208416214738325
2016q3,2230.69012379006,0.00350983616115891,0.000157312522798386
2016q4,2242.38105225145,0.00227017057427154,0.00476774607784566
2017q1,2264.01223877051,0.00416935517525757,0.00394077850896931
2017q2,2291.28948496477,0.00520119184828967,0.00157509747884707
2017q3,2286.1551517016,-0.000974261281812149,0.000631441427838953
2017q4,2303.53844592047,0.00328976420539583,0.00743655886799865
2018q1,2322.24638896036,0.00351283123492739,0.00726325830016926
2018q2,2321.42686246948,-0.000153290646084234,0.00464004951844934
2018q3,2333.89133144549,0.00232562536276871,-0.00154568780790037
2018q4,2337.36071906818,0.000645110202092456,-0.00121713637992206
2019q1,2346.65351149676,0.00172322865369384,0.00511416767420694
2019q2,2367.9842842566,0.0039298459463863,0.000572614708568605
2019q3,2375.66909405608,0.00140713207475994,0.0013435910921511
2019q4,2384.05845202411,0.00153095134540572,0.00755143101397844
2020q1,2364.26216970282,-0.0036212659892873,-0.0113243059758415
2020q2,2224.09619469041,-0.0265420661364671,-0.0168776478034384
2020q3,2358.30101414724,0.0254456707097641,0.0187570059656831
2020q4,2359.20419678707,0.000166294354275417,0.00975576692179645
2021q1,2371.62949639926,0.0022813109975007,-0.0160426229419978
2021q2,2453.5136718947,0.0147416392666142,0.0266396801589056
2021q3,2501.95701018168,0.00849136079188142,0.00805411964748805
2021q4,2583.86716956737,0.0139903406894196,0.0122595736288764
2022q1,2447.20247764997,-0.0236002801813517,-0.030171375589686
2022q2,2491.49146004927,0.0077894992271723,0.0051536282697661
2022q3,2525.02968461875,0.00580708521233668,-0.00279537425187168
2022q4,2491.26112373082,-0.00584723723292126,-0.00582797691251335
2023q1,2519.71308524238,0.00493184045975514,-0.00136087382255955
2023q2,2486.93969702102,-0.00568583665757953,-0.00421674655415743
2023q3,2480.79778067795,-0.00107388997393737,-0.00650357764640763
2023q4,2528.29774630921,0.00823685282988099,0.00428811734151114
2024q1,2539.43334796193,0.00190860092773094,0.00276406768628105
2024q2,2585.45141614034,0.00779956278214784,0.00183773859444214
2024q3,2603.68850923745,0.00305264518640642,0.0012489598108103
2024q4,2635.74629575506,0.00531457840271192,0.0023471670673057
2025q1,2602.28316714282,-0.00554905233751207,0.0034210830045573
2025q2,2634.8884965546,0.00540768892406756,0.0020379122746312
